cleaned_review,sentiment
very good,Positive
i love everything about your banking system .,Positive
good app,Positive
it's very cool,Positive
"fast and reliable tested and trusted to use for saving, investing, spending..it's very fast for transitions",Positive
excellent,Positive
awesome,Positive
very good app,Positive
good,Positive
best banking app,Positive
you guys keep logging me out i have to reset password everytime,Negative
so fast and easy i really love the way the app works i gave you 100 but want the app to keep working the way it's is never try to change the way the app is working i really love the app thanks for making transaction more easier it really helps i appreciate the effort that have been putting on in the app,Positive
has never disappointed,Positive
"kuda is worth using, because they value customer relationship, and they are very sincere in the way they deal with customers. 1. there's no unnecessary debits 2. they have tight security 3. and lastly, they give the best service",Positive
kuda bank is incredible app to bank with,Positive
wonderful,Positive
"i rate this app a1, don't know about anyone else",Positive
durable and reliable,Positive
extraordinary,Positive
this app is good,Positive
"good services, good customer support",Positive
very fast and reliable,Positive
top notch,Positive
amazing experience and a great banking app so good at their job and very respectful and swift with refunds lovely app thank you kuda,Positive
the app is excellents so fast and reliable kudos to kuda,Positive
good experience so far,Positive
fast nd reliable i love ur service tank u,Positive
good and simple app,Positive
i'm highly impressed with the kuda customer care .,Positive
every thing is so felixbile and easy,Positive
satisfactory,Positive
smooth transaction and secured app,Positive
it was good,Positive
poor network this days,Negative
very sharp,Positive
i love you kuda,Positive
i like kuda is great,Positive
kuda is good,Positive
nice app,Positive
your card doesn't work,Negative
very reliable,Positive
great app with full experience thank for providing adequate service to us,Positive
poor services,Negative
am trying to register but is showing me referral code what does that means,Neutral
very nice,Positive
it's refusing to update my nin,Negative
"been unable to login after the beta update. i left the beta program, uninstalled and reinstalled the stable version, and still no luck. the website is working though.",Negative
kuda is the best of all time fast in transaction,Positive
"when i want to log in it will just be rolling and not open ,it giving me problems, some time it will said ,they have issue for now i should try again often and often,.",Negative
it's a very good bank app but it has glitches sometimes,Positive
good app it work well,Positive
"nice app, and so helpful",Positive
"excellent online banking, keep it up",Positive
inspirational,Positive
it's very reliable,Positive
i love kuda,Positive
fast and reliable,Positive
am happy with this app,Positive
kuda is my number one trusted banking for everybody and every business owner if no be kuda he no fit be like kuda,Positive
"kuda is so sharp in transaction, airtime and others, am so interesting in it, so easy to open and easy to make any type of payment, try it",Positive
i love it,Positive
nice an smooth network,Positive
kuda is the best and i also like their service,Positive
easy and wonderful app to use,Positive
kuda is awesome,Positive
superb,Positive
this is the worst experience i've ever seen on your app. keeps loading like 15mins b4 one could eventually log in,Negative
guys try kuda app u will know that it the best fintech that fit ur lifestyle transactions in a second beneficiary credited within 5 seconds so guys go to ur google play or app store to download urs now and njoy transactions smoothly wat i really appreciate mosts is their overdraft show m any bank that u can spend beyond ur account balance up to 200k instantly,Positive
you're the best,Positive
you are the best but you guys don't give me overdraft,Neutral
kuda app is making me happy sincerely,Positive
i really really enjoy this app,Positive
lovely,Positive
good one,Positive
"why can't i verify my bvn to upgrade to stage 2, anytime i tried upgrade it say ""sorry, we couldn't confirm your bvn. please check that you entered the correct bvn and try again. wat an outstanding respond after correctly input the right bvn which is 11 in digit.",Negative
really great,Positive
perfect,Positive
enjoy using kuda microfinance bank,Positive
very cool,Positive
because it fast,Positive
feel so relaxed with kuda.,Positive
"seamless, so far.",Positive
this the most recent bank ever,Neutral
good bank for everyone to be used,Positive
customer service is top notch but fix your network issues.,Neutral
amazing,Positive
great,Positive
anytime i recharge data there usually reverse it back and that's not good if you are in need to recharge data there will keep reversing it you guys to stop that,Negative
kuda is a nice app. and you are making us happy.,Positive
"this is honestly the best digital banking app i've ever seen. i lost all access to my account about 6 years ago. but with their assistance, i could get it all back easily..... kuda to the world",Positive
complicated,Negative
so good and fast,Positive
kuda deserves more than 5 stars. keep the good work on.,Positive
"this is the best app i've used so far, so fast kuda, you're the best",Positive
nice app you are making me happy,Positive
the best online banking so far save and trust worthy thank you,Positive
please am finding difficult to login my app,Negative
best in the east,Positive
cool app,Positive
your virtual card is not useful anymore,Negative
cool and safe,Positive
good and fast on my doing my transactions,Positive
i don't really have any special bank than kuda because it's so special fast and reliable,Positive
love this bank,Positive
"why do you request that i update my app to use my card but you have no new update? you guys need to stop messing with people, if you are folding, you let us know to switch bank asap",Negative
fast and easy to use,Positive
kuda is the best.,Positive
it's a very unique and easy app to deal with i think people need to use the app more thank you,Positive
"very fast in sending and receiving money, great app",Positive
the best mobile app ever,Positive
it's been great,Positive
one of top 5 banking app in the world,Positive
nice. why will there be use of passkey and user can't switch to password anytime?,Neutral
kuda mfb is one of the rare banks that you will ever find online. their dealings are topnotch.,Positive
very good banking network is superb. kuda is the best,Positive
"good and flexible app for funds savings, transactions",Positive
"i love this app,very easy to navigate,fast transfers and very secured.",Positive
marvelous experience,Positive
been great.. kudos,Positive
you are doing well,Positive
is good,Positive
"i love the transfer procedure and the app looks less bulky, easy to navigate. i love it after my first transaction.",Positive
new,Neutral
"it's reliable, fast in transactions, user friendly, but can be difficult to access sometimes, especially when i do not log in for a while. it will be demanding authentication of account and all that, thereby redirecting anyhow.",Neutral
great job,Positive
nice,Positive
network issues on sending money,Negative
excellent performance,Positive
very fast and easy,Positive
this makes transactions easier without compromising the financial security,Positive
so fast no payment delay,Positive
kuda is reliable very easy,Positive
i love this online bank it is the best,Positive
it was great,Positive
kuda is the best,Positive
my favorite bank since 2017. excellent.,Positive
i'm brushing it's so nice,Positive
this is excellent and fast,Positive
remarkable,Positive
"so good and reliable they will help u to meet ur goal,i so much love dem,truth worthy ,smart ,fast",Positive
kuda you are the best,Positive
fantastic,Positive
god bless kuda for the security,Positive
best mobile banking app ever by a mile,Positive
"app is too slow specially the customer service agents, always never responding to customers on time... this is so poor",Negative
good application,Positive
great app. fast and efficient,Positive
i love kuda for their great and effective services,Positive
wow i'm so happy to have kuda bank account so far so good day are the boss,Positive
"superb app i like the opportunity of easy loan, it's a life saver",Positive
i love using kuda,Positive
superbly efficient app,Positive
"amazing app , rectify issues without delay",Positive
exceptional,Positive
it's a very nice banking app choose kuda today,Positive
very good banking,Positive
these people have locked my account with funds inside since last year because i funded my kuda account with my wema card and have refused to unlock the account. they commit fraud while making profits on your money. you better run...,Negative
"it is a very good banking app since when i started using it i have not been having problems with it,so i give it 5 stars",Positive
kuda is really amazing from my own experience,Positive
very nice now not like before,Positive
very good service,Positive
best app ever,Positive
sharp,Positive
am excited,Positive
am enjoying my personal account moneipoint,Positive
i love using monie point is very fast bank no network is holding so easy to do transaction i love who open this bank because is very gorgeous more than that,Positive
sweet transaction,Positive
was glad i really enjoy it because it was faster and very understanding beneficials to receive,Positive
good app bad network,Neutral
pls add loan,Neutral
"great experience so far, but could u make the face capture process a lot easier",Neutral
the best bank app ever,Positive
incredibly fast,Positive
moniepoint a very nice app,Positive
because is fast and reliable and,Positive
i appreciate yusing this app,Positive
very fast and good,Positive
good and great,Positive
you are doing good,Positive
money,Neutral
best,Positive
dear moniepoint i can upgrade my account and i can't login why please do something,Negative
um moniepiont is a fast and reliable account to create. the reason is because of the savings but the ten naira charge is what i don't like,Neutral
good to go,Positive
