"annotation_id","annotator","appVersion","app_name","at","cleaned_content","content","created_at","id","lead_time","repliedAt","replyContent","reviewCreatedVersion","reviewId","score","sentiment","thumbsUpCount","updated_at","userImage","userName"
1569,"1","","kuda","27/02/2026 3:33","very good","Very good","2026-03-08T14:43:26.275698Z",671,5.754,"27/02/2026 3:35","Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
Weâ€™re here to help!ðŸ’œ","","696286d0-11cb-45f4-9366-a482228de92e",5,"Positive",0,"2026-03-08T14:43:26.275728Z","https://play-lh.googleusercontent.com/a-/ALV-UjV3eOV9K4OA5-RXMkdwIHyCSOroDpl3NP8Ya33BUP8dD32oGjk","Papzi Josh"
1570,"1","2.00412","kuda","27/02/2026 2:32","i love everything about your banking system .","I love everything about your banking system .","2026-03-08T14:43:34.103239Z",672,5.995,"27/02/2026 2:35","Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
Weâ€™re here to help!ðŸ’œ","2.00412","bc63bdda-1d06-4efe-94e3-f52fc1f3762e",5,"Positive",0,"2026-03-08T14:43:34.103272Z","https://play-lh.googleusercontent.com/a/ACg8ocLryiB3ROhMW2g9zvtouZUdDIFhZzS5Rdi-Cfp0SC4Xcyay6gU=mo","Adejoke Horluwakemi musa"
1571,"1","2.00413","kuda","27/02/2026 2:20","good app","good app","2026-03-08T14:44:41.444210Z",673,65.461,"27/02/2026 2:35","Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
Weâ€™re here to help!ðŸ’œ","2.00413","156497c5-e59a-4915-a713-e043d181143e",5,"Positive",0,"2026-03-08T14:44:41.444233Z","https://play-lh.googleusercontent.com/a/ACg8ocI6Dls4iZKphyCQtplPPuFHpcCDOlEIE7h_usUptqtKpVEIRQ=mo","Mustapha Sarafdeen"
1572,"1","2.00413","kuda","27/02/2026 1:37","it's very cool","it's very cool","2026-03-08T14:44:48.889831Z",674,5.764,"27/02/2026 1:55","Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
Weâ€™re here to help!ðŸ’œ","2.00413","99fb080f-1534-4a4b-a2b2-6eec7443d0fd",5,"Positive",0,"2026-03-08T14:44:48.889850Z","https://play-lh.googleusercontent.com/a-/ALV-UjUHxDzHcWjpMyyti6RWzN7PEMiBje7YzK527Vj2OIZdhYNLCBE","Rejoicechinamerem Man"
1573,"1","","kuda","27/02/2026 0:25","fast and reliable tested and trusted to use for saving, investing, spending..it's very fast for transitions","fast and reliable tested and trusted to use for saving, investing, spending..it's very fast for transitions","2026-03-08T14:44:59.181770Z",675,8.682,"27/02/2026 0:35","Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
Weâ€™re here to help!ðŸ’œ","","25be32bb-db49-41bc-85ec-cb0e39cff390",5,"Positive",0,"2026-03-08T14:44:59.181794Z","https://play-lh.googleusercontent.com/a-/ALV-UjXnEdU2ypJ7KgK7aTocdgbD79_tLlT7p7V_aVCf0KmlMy7wIVE","Odikanwa Anthony"
1574,"1","2.00412","kuda","27/02/2026 0:13","excellent","excellent","2026-03-08T14:45:05.293330Z",676,4.594,"27/02/2026 0:15","Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
Weâ€™re here to help!ðŸ’œ","2.00412","8528c639-1d94-47d0-ae37-83941a785ce6",5,"Positive",0,"2026-03-08T14:45:05.293350Z","https://play-lh.googleusercontent.com/a-/ALV-UjWrfXBFyQyY7Unh3kyVNOSpXdAPRMe3ciWq_s7TCpPPY-a9aQT5","horpybag Oyewole opeyemi"
1575,"1","","kuda","27/02/2026 0:09","awesome","awesome","2026-03-08T14:45:15.898683Z",677,8.886,"27/02/2026 0:15","Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
Weâ€™re here to help!ðŸ’œ","","84144bf0-a292-47db-882b-a317dfe6736d",5,"Positive",0,"2026-03-08T14:45:15.898708Z","https://play-lh.googleusercontent.com/a/ACg8ocJHrcEq7miCL5nwKAoWFN8s8wzvPcfeqSsgIcPsrSES0C6XMw=mo","Bow Stringma"
1576,"1","2.00413","kuda","27/02/2026 0:06","very good app","very good app","2026-03-08T14:45:23.445790Z",678,5.882,"27/02/2026 0:15","Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
Weâ€™re here to help!ðŸ’œ","2.00413","5b0e9969-9b81-46b5-840e-6321d2407246",5,"Positive",0,"2026-03-08T14:45:23.445823Z","https://play-lh.googleusercontent.com/a-/ALV-UjWpobCjg_5gZufqtYFQHbW6gtTCx8Q2I6QcWzI9gwMPdYyVRN48","Azeez Shobayo"
1577,"1","2.00413","kuda","26/02/2026 23:15","good","good","2026-03-08T14:45:32.579583Z",679,7.789,"26/02/2026 23:35","Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
Weâ€™re here to help!ðŸ’œ","2.00413","cfbd9563-15e9-4d44-93ac-c6ea440c29ef",5,"Positive",0,"2026-03-08T14:45:32.579605Z","https://play-lh.googleusercontent.com/a/ACg8ocKgNQnpfAoAQXFYkCEhqDOjaemE-dTG8OotEVMZgnCNNsL71Q=mo","Prince Favour"
1578,"1","2.00413","kuda","26/02/2026 21:22","best banking app","best banking app","2026-03-08T14:45:38.525704Z",680,4.888,"26/02/2026 21:35","Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
Weâ€™re here to help!ðŸ’œ","2.00413","8cb73fbc-fbee-4605-bd01-4f68eeba4afb",5,"Positive",0,"2026-03-08T14:45:38.525723Z","https://play-lh.googleusercontent.com/a/ACg8ocKk5mbaMn5OVHxVXXufl1sveJhcqDAQ8idVrKcgZuzNfyT5-w=mo","Osamudiamen Lucky"
