content,cleaned_content,reviewId,userName,userImage,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,app_name
Very good,very good,696286d0-11cb-45f4-9366-a482228de92e,Papzi Josh,https://play-lh.googleusercontent.com/a-/ALV-UjV3eOV9K4OA5-RXMkdwIHyCSOroDpl3NP8Ya33BUP8dD32oGjk,5,0,,27/02/2026 3:33,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",27/02/2026 3:35,,kuda
I love everything about your banking system .,i love everything about your banking system .,bc63bdda-1d06-4efe-94e3-f52fc1f3762e,Adejoke Horluwakemi musa,https://play-lh.googleusercontent.com/a/ACg8ocLryiB3ROhMW2g9zvtouZUdDIFhZzS5Rdi-Cfp0SC4Xcyay6gU=mo,5,0,2.00412,27/02/2026 2:32,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",27/02/2026 2:35,2.00412,kuda
good app,good app,156497c5-e59a-4915-a713-e043d181143e,Mustapha Sarafdeen,https://play-lh.googleusercontent.com/a/ACg8ocI6Dls4iZKphyCQtplPPuFHpcCDOlEIE7h_usUptqtKpVEIRQ=mo,5,0,2.00413,27/02/2026 2:20,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",27/02/2026 2:35,2.00413,kuda
it's very cool,it's very cool,99fb080f-1534-4a4b-a2b2-6eec7443d0fd,Rejoicechinamerem Man,https://play-lh.googleusercontent.com/a-/ALV-UjUHxDzHcWjpMyyti6RWzN7PEMiBje7YzK527Vj2OIZdhYNLCBE,5,0,2.00413,27/02/2026 1:37,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",27/02/2026 1:55,2.00413,kuda
"fast and reliable tested and trusted to use for saving, investing, spending..it's very fast for transitions","fast and reliable tested and trusted to use for saving, investing, spending..it's very fast for transitions",25be32bb-db49-41bc-85ec-cb0e39cff390,Odikanwa Anthony,https://play-lh.googleusercontent.com/a-/ALV-UjXnEdU2ypJ7KgK7aTocdgbD79_tLlT7p7V_aVCf0KmlMy7wIVE,5,0,,27/02/2026 0:25,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",27/02/2026 0:35,,kuda
excellent,excellent,8528c639-1d94-47d0-ae37-83941a785ce6,horpybag Oyewole opeyemi,https://play-lh.googleusercontent.com/a-/ALV-UjWrfXBFyQyY7Unh3kyVNOSpXdAPRMe3ciWq_s7TCpPPY-a9aQT5,5,0,2.00412,27/02/2026 0:13,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",27/02/2026 0:15,2.00412,kuda
awesome,awesome,84144bf0-a292-47db-882b-a317dfe6736d,Bow Stringma,https://play-lh.googleusercontent.com/a/ACg8ocJHrcEq7miCL5nwKAoWFN8s8wzvPcfeqSsgIcPsrSES0C6XMw=mo,5,0,,27/02/2026 0:09,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",27/02/2026 0:15,,kuda
very good app,very good app,5b0e9969-9b81-46b5-840e-6321d2407246,Azeez Shobayo,https://play-lh.googleusercontent.com/a-/ALV-UjWpobCjg_5gZufqtYFQHbW6gtTCx8Q2I6QcWzI9gwMPdYyVRN48,5,0,2.00413,27/02/2026 0:06,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",27/02/2026 0:15,2.00413,kuda
good,good,cfbd9563-15e9-4d44-93ac-c6ea440c29ef,Prince Favour,https://play-lh.googleusercontent.com/a/ACg8ocKgNQnpfAoAQXFYkCEhqDOjaemE-dTG8OotEVMZgnCNNsL71Q=mo,5,0,2.00413,26/02/2026 23:15,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",26/02/2026 23:35,2.00413,kuda
best banking app,best banking app,8cb73fbc-fbee-4605-bd01-4f68eeba4afb,Osamudiamen Lucky,https://play-lh.googleusercontent.com/a/ACg8ocKk5mbaMn5OVHxVXXufl1sveJhcqDAQ8idVrKcgZuzNfyT5-w=mo,5,0,2.00413,26/02/2026 21:22,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",26/02/2026 21:35,2.00413,kuda
you guys keep logging me out I have to reset password everytime,you guys keep logging me out i have to reset password everytime,7de6278b-bd13-49ca-9e7b-4a1da17bd284,mercy initie,https://play-lh.googleusercontent.com/a/ACg8ocIfdQpFXWbp1uzlqgEKiegqCCCx9odq6io7x5JnoJ0hSAH48Q=mo,1,0,2.00413,26/02/2026 19:53,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",26/02/2026 19:55,2.00413,kuda
so fast and easy I really love the way the app works I gave you 100% but want the app to keep working the way it's is never try to change the way the app is working I really love the app thanks for making transaction more easier it really helps I appreciate the effort that have been putting on in the app,so fast and easy i really love the way the app works i gave you 100 but want the app to keep working the way it's is never try to change the way the app is working i really love the app thanks for making transaction more easier it really helps i appreciate the effort that have been putting on in the app,34df04cf-591e-492f-96d5-6625248c58f0,Okpaga Samuel,https://play-lh.googleusercontent.com/a-/ALV-UjWpWdCBMpIMxI68XbAC2wXB6KuGv4EKoKESKem1FUZN1yHs6BIa,5,0,2.00412,26/02/2026 19:30,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",26/02/2026 19:35,2.00412,kuda
has never disappointed,has never disappointed,8df526ce-5486-4b3d-ad85-0742b6cab6b5,Ugwudu Tochukwu,https://play-lh.googleusercontent.com/a/ACg8ocIpp_RJd7jnRl7c7YEC53nqewbWoGOV2U1-csNpxcJXOUZvEg=mo,5,0,,26/02/2026 19:20,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",26/02/2026 19:35,,kuda
"Kuda is worth using, Because they value customer relationship, and they are very sincere in the way they deal with customers. 1. There's no unnecessary debits 2. They have tight security 3. And lastly, they give the best service","kuda is worth using, because they value customer relationship, and they are very sincere in the way they deal with customers. 1. there's no unnecessary debits 2. they have tight security 3. and lastly, they give the best service",6d40d0bb-8977-4da7-bfcd-74127edd3d33,Seyifunmi Miracle,https://play-lh.googleusercontent.com/a-/ALV-UjW4lyFzYRxeOJKJMtusaQWX0Oc-f1uO7AOe78VwYq8c8B71SV8,5,0,2.00413,26/02/2026 18:55,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",26/02/2026 19:15,2.00413,kuda
Kuda Bank is incredible app to bank with,kuda bank is incredible app to bank with,910cf0ad-6b9f-406d-b590-f6b6cb9ade84,chinonso ikpafere,https://play-lh.googleusercontent.com/a/ACg8ocKCN7RZl_L9VHSwdxUplXC7aQD9v14tiC2cd7RyH4fJOXoNSw=mo,5,0,2.00413,26/02/2026 18:29,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",26/02/2026 18:35,2.00413,kuda
wonderful,wonderful,973b37bb-407c-4087-8d94-ea392a258cd9,Queen Kingsley,https://play-lh.googleusercontent.com/a-/ALV-UjWksOGrtA1X0v9j9k9GQqBask1-_sBTqLBdiRsIJ9xRxa4km3V6,5,0,2.00413,26/02/2026 18:13,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",26/02/2026 18:15,2.00413,kuda
"I RATE THIS APP A1, DON'T KNOW ABOUT ANYONE ELSE!!!!!!","i rate this app a1, don't know about anyone else",4d4d811b-1bc8-4e8d-9e78-bd2cd0389eb2,Chidera Albert,https://play-lh.googleusercontent.com/a-/ALV-UjVSf41let8ksBcqEsTkAsx5zJXQpfVNUGjIVZcICmn7z0n0Cng,5,0,2.00412,26/02/2026 17:40,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",26/02/2026 17:55,2.00412,kuda
durable and reliable,durable and reliable,6be0dfd9-ceaf-4a93-a3a2-787fd9aed728,Mr Teacher Dikume,https://play-lh.googleusercontent.com/a-/ALV-UjUodT_aLT3imgn8OGzmrWPsy-NB99SiZr3c0UZ5pNSoZnJmIW7mew,5,0,2.00413,26/02/2026 16:27,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",26/02/2026 16:35,2.00413,kuda
extraordinary,extraordinary,7548714f-a10f-4c6f-b6fb-c2c1d2fb5610,Emmanuel Isaac,https://play-lh.googleusercontent.com/a-/ALV-UjVtisdM_wQ7_wZ9B2Rt44qIzb3ona2tpO9PUUD_Zpe6HlCPJ3k,5,0,,26/02/2026 16:23,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",26/02/2026 16:35,,kuda
this app is good,this app is good,bcd43601-0c4c-4c0a-89cb-7b438e2ae107,Knotty Miracle,https://play-lh.googleusercontent.com/a/ACg8ocIOpIbZwsfBsSv7T-_xAYknhtNC4FePK-sY8XO8yqehOL41tQ=mo,5,0,2.00413,26/02/2026 15:40,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",26/02/2026 15:55,2.00413,kuda
"good services, good customer support","good services, good customer support",db6259ff-782f-4970-a8b4-89a03dd22095,garba garba,https://play-lh.googleusercontent.com/a/ACg8ocIpm05mHBRuOrlqMDB4EA4VMY1aPjzsvTLW1ClY-0WA5LtJuQ=mo,5,0,,26/02/2026 15:30,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",26/02/2026 15:35,,kuda
very fast and reliable,very fast and reliable,56052c32-871d-4b39-a157-62d723748a1a,Prince William,https://play-lh.googleusercontent.com/a/ACg8ocLnnbnBi4g8mNjUIIVYoppG7WO3Ba7CYJEaClyHwXy3xDU4ew=mo,5,0,2.00413,26/02/2026 15:16,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",26/02/2026 15:35,2.00413,kuda
Top-notch!,top notch,b559fcfe-1f81-4f20-97d6-13ed2b553821,Olushola Sholanke,https://play-lh.googleusercontent.com/a/ACg8ocLKWI6fZgrwE5lacHYMsdy9wTEs5_BWDHFHZEJMG_v4xwvlew=mo,5,0,2.0041,26/02/2026 14:43,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",26/02/2026 14:55,2.0041,kuda
Amazing experience and a great banking app so good at their job and very respectful and swift with refunds lovely app Thank you Kuda⭐✨,amazing experience and a great banking app so good at their job and very respectful and swift with refunds lovely app thank you kuda,ba9948b9-447a-4c5c-8483-8e0844b27f8e,Back up mail,https://play-lh.googleusercontent.com/a/ACg8ocLgu4jJi3ZCAzAoQnFTBpN2fGqIOOrV2KN0_3HdjXjZXrmR-A=mo,5,0,2.00412,26/02/2026 13:37,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",26/02/2026 13:55,2.00412,kuda
the app is excellents so fast and reliable kudos to kuda👍🥰👏,the app is excellents so fast and reliable kudos to kuda,ea371253-ce78-46ee-87a0-6578f68ad5c8,Jamiu Alubarka,https://play-lh.googleusercontent.com/a-/ALV-UjWpd2ZuvK1Ndt_hoQCADMbcfo56g_6QKnoD4rlbCfUJAHTF-tOa,5,0,2.00412,26/02/2026 13:33,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",26/02/2026 13:35,2.00412,kuda
